id,job_title,descr50,job_level,job_grp,vert_grp,notes,del_doc_path,del_doc_name,beroep_cd,code_fnc,schaalsrt,schaalcode,kmrateint,productiv,prodpct,xdefratelv,inttar,exttar,docid,roleid,rolelevel,scalemin,scalemax,wkcp_risk,division,syscreated,syscreator,sysmodified,sysmodifier,sysguid,
1715,KSTK        ,Kỹ sư Thiết kế và phân tích PCB              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,50:25.2,0,50:25.2,0,30D12E12-E15C-4883-9897-C48C28C7E0BB,
1555,KTBH        ,Kỹ thuật bảo hành                             ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,17:44.5,0,17:44.5,0,EAEAE00D-7309-4D9D-9229-C22C4AE4AA34,
1408,KTCN        ,Kế toán công nợ                                ,10,STAFF     ,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,25:28.9,0,25:28.9,0,C3573E18-2334-46AD-B024-EBD2DF987B82,
1733,KTCNDMX     ,Kế toán công nợ ĐMX                             ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,45:54.3,0,45:54.3,0,73D2A8CD-F4FB-45CC-A602-50659EBA6B0B,
1731,KTCNMT      ,Kế toán công nợ MT                              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,42:16.8,0,42:16.8,0,5865654C-2E47-4706-8777-47D27933666B,
1732,KTCNTMDT    ,Kế toán công nợ TMĐT                            ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,44:24.1,0,44:24.1,0,F0A7E0BE-1220-4040-AAE5-0C4D5C54BAD3,
1775,KTCNGT      ,Kế toán công nợ GT                              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,55:06.5,0,55:06.5,0,34BD1637-C4EC-4B9A-8778-362928C93B92,
1696,KTDL        ,Nhân viên Kỹ thuật điện lạnh                  ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,01:43.8,0,01:43.8,0,FEBAA77E-4FFD-4C1A-A7A5-025BBD5E0CEC,
1671,KTDMX       ,Kế toán tổng hợp ĐMX                          ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,59:37.4,0,59:37.4,0,4D098AA4-A438-4377-B74E-44D33E3EFA32,
1762,KTK         ,Kế toán kho                                     ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,50:22.3,0,50:22.3,0,EBB26659-0B7C-4D60-892E-E1BE4B020B0D,
